WATER_LEVEL_END,WATER_LEVEL_START,BARDO ŚLĄSKIE,BIERUTÓW,BOLESŁAWÓW,BOLKÓW,BORÓW,BRZEG,BRZEG DOLNY,CHWAŁKOWICE,CIESZYN,DŁUGOPOLE-ZDRÓJ,DOBROGOSZCZ,DZIERŻONIÓW,DZIEWIĘTLICE,GŁOGÓW,GŁUBCZYCE,GŁUCHOŁAZY,GOŚCIEJOWICE,GRABOWNICA,ISTEBNA-STECÓWKA,ISTEBNA-WIEŚ,JARNOŁTÓWEK,JAWOR,JEDLINA-ZDRÓJ,JELCZ-LASKOWICE,KACZORÓW,KAMIENICA,KĄTY WROCŁAWSKIE,KŁODZKO,KOPICE,KORFANTÓW II,KRUPSKI MŁYN,KUDOWA-ZDRÓJ,LĄDEK-ZDRÓJ,LEGNICA,LESZNO,LEWIN KŁODZKI,LIGOTA GÓRNA,LUBACHÓW,LUBIN,LUBOMIN,ŁABĘDY,ŁANY,MIĘDZYGÓRZE,MIĘDZYLESIE,MILICZ,MŁOTY,NAMYSŁÓW,NYSA,OBORNIKI ŚLĄSKIE,ODOLANÓW,OŁDRZYCHOWICE KŁODZKIE,OPOLE,OSETNO,OSTROSZOWICE,OSTRZESZÓW II,OTMUCHÓW,PACZKÓW,POLANICA-ZDRÓJ,POLKOWICE DOLNE,PRUDNIK,PRZEWORNO,PSZENNO,RACŁAWICE ŚLĄSKIE,ROŻNÓW,RUDNA,RYBNIK,SŁOSZÓW,SMOLICE,SREBRNA GÓRA,STARE OLESNO,STRONIE ŚLĄSKIE,STRZELIN,SUKOWICE,SZALEJÓW GÓRNY,SZCZAWNO-ZDRÓJ,ŚWIERZAWA,TARNÓW,TRZEBNICA,TWARDOCICE,WALIM,WROCŁAW-STRACHOWICE,ZIELENIEC,ZIELINA,ŹRÓDŁA
205,116,0.02,0.09,0.05,0.0,0.0,0.0,0.05,0.65,0.02,0.22000000000000003,0.0,0.1,0.0,0.64,0.02,0.01,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.05,0.0,0.0,0.15,0.32,0.01,0.02,0.8400000000000001,0.21000000000000002,0.12,0.06999999999999999,0.06,0.01,0.0,0.0,0.11000000000000001,0.22999999999999998,0.11000000000000001,0.05,0.06999999999999999,0.0,0.09,0.0,0.06,0.05,0.6900000000000001,0.01,0.0,0.0,0.0,0.05,0.08,0.0,0.04,0.0,0.0,0.11000000000000001,0.8800000000000001,0.19,0.13,0.2,0.03,0.05,0.01,0.02,0.08,0.0,0.0,0.02,0.0,0.18,0.0,0.02,0.0,0.7,0.0,0.0
188,118,0.0,0.01,0.1,0.0,0.0,0.06,0.3,0.15,0.4,0.06,0.04,0.15,0.0,0.06,0.0,0.01,0.0,0.8699999999999999,0.44000000000000006,0.41,0.0,0.61,0.13,0.0,0.0,0.18,0.02,0.01,0.0,0.0,0.1,0.06,0.04,0.3,0.18,0.04,0.08,0.6,0.61,0.27,0.33999999999999997,0.0,0.1,0.02,1.1,0.11000000000000001,0.02,0.0,0.75,0.25,0.02,0.02,0.2,0.6900000000000001,0.0,0.0,0.0,0.04,0.8699999999999999,0.0,0.13,0.0,0.01,0.0,0.05,0.0,0.06999999999999999,1.17,0.0,0.11000000000000001,0.0,0.0,0.2,0.0,0.18,1.05,0.0,0.8800000000000001,0.02,0.52,0.25,0.13,0.0,0.0
188,127,0.22000000000000003,0.71,0.5599999999999999,1.02,0.05,0.1,0.15,0.52,0.01,0.75,0.13,0.1,0.13,0.04,0.0,0.08,0.0,0.1,0.04,0.03,0.04,0.05,1.58,0.3,0.36,0.74,0.08,0.03,0.0,0.0,0.43,0.2,0.06999999999999999,0.04,0.25,0.6799999999999999,0.03,0.8300000000000001,0.0,1.34,0.29,0.0,0.48,0.95,0.1,0.0,0.41,0.05,0.3,0.89,0.19,0.24,0.27,1.7,0.0,0.04,0.16999999999999998,0.24,0.12,0.0,0.41,0.2,0.02,0.13999999999999999,0.08,1.09,0.43,0.04,0.05,0.31,0.4,0.08,0.25,0.0,0.54,0.13999999999999999,0.11000000000000001,0.08,0.93,1.29,0.12,0.95,0.09,0.0
218,153,0.24,0.19,1.25,0.3,0.11000000000000001,0.19,0.51,0.38,1.1,1.8699999999999999,0.04,0.15,0.27,0.03,0.0,0.45,0.0,0.38,0.8300000000000001,0.82,0.33999999999999997,0.27,0.13999999999999999,0.26,0.02,1.6,0.1,0.27,0.0,0.0,0.82,0.8,0.3,0.33999999999999997,0.09,1.28,0.5,0.16999999999999998,0.21000000000000002,0.19,0.78,0.0,1.21,1.44,0.42000000000000004,0.13,0.22999999999999998,0.6,0.71,0.16999999999999998,0.85,0.22999999999999998,0.25,0.2,0.0,0.5,0.38,0.6599999999999999,0.16,0.39,0.2,0.16,0.16,1.1199999999999999,0.1,0.54,0.55,0.6,0.62,0.9099999999999999,1.06,0.09,0.3,0.0,0.02,0.49000000000000005,0.6599999999999999,0.44000000000000006,0.06999999999999999,0.22000000000000003,0.43,1.26,0.61,0.0
244,179,0.89,0.6799999999999999,2.3,0.47000000000000003,0.48,0.16999999999999998,0.22000000000000003,0.54,0.43,2.7600000000000002,0.37,0.08,0.06999999999999999,0.33999999999999997,0.35,0.22000000000000003,0.0,0.22000000000000003,1.75,2.02,0.16,0.03,0.21000000000000002,0.16,0.73,3.94,0.48,0.67,0.0,0.0,0.52,2.82,1.19,0.09,0.55,3.2,0.31,0.16,0.06,0.76,0.47000000000000003,0.0,2.48,2.98,0.32999999999999996,4.76,0.42000000000000004,0.06999999999999999,0.2,0.36,0.75,0.13999999999999999,0.5700000000000001,0.22000000000000003,0.0,0.16,0.03,1.9100000000000001,0.1,0.02,0.75,0.26,0.33999999999999997,0.21000000000000002,0.33999999999999997,0.24,2.65,0.22000000000000003,1.7600000000000002,0.36,1.04,0.39,0.15,0.0,0.32,0.6900000000000001,0.11000000000000001,0.18,0.47000000000000003,0.32,0.3,4.6,0.05,0.0
253,175,0.16,0.31,0.35,0.45999999999999996,0.13999999999999999,0.42000000000000004,0.6900000000000001,0.1,0.36,0.01,0.13999999999999999,0.15,0.11000000000000001,0.08,0.11000000000000001,0.49000000000000005,0.0,0.45,1.34,1.04,0.36,0.53,0.32,0.45,0.74,0.5,0.25,0.08,0.0,0.0,0.5700000000000001,0.24,0.52,0.5,0.1,0.42000000000000004,0.45,0.06,0.51,0.45,0.22999999999999998,0.0,0.54,0.03,0.52,0.11000000000000001,0.67,0.42000000000000004,0.85,0.47000000000000003,0.13999999999999999,0.32999999999999996,0.11000000000000001,0.12,0.0,0.42000000000000004,0.32999999999999996,0.13999999999999999,0.52,0.41,0.38,0.09,0.3,0.45,0.05,0.6599999999999999,0.1,0.55,0.06,0.45,2.09,0.22000000000000003,0.2,0.0,0.24,0.9,0.18,0.63,0.71,0.11000000000000001,0.61,0.22000000000000003,0.36,0.0
251,163,0.38,0.61,0.2,0.62,0.5,0.25,0.12,0.12,0.47000000000000003,0.21000000000000002,0.45,0.3,0.22999999999999998,0.12,0.16999999999999998,0.41,0.0,0.13999999999999999,1.23,0.93,0.32,0.16999999999999998,0.6900000000000001,0.58,1.05,0.5,0.58,0.11000000000000001,0.0,0.0,0.65,0.49000000000000005,0.32999999999999996,0.09,0.03,0.35,0.45999999999999996,0.52,0.22000000000000003,1.0,0.44000000000000006,0.0,0.63,0.36,0.18,0.24,0.5700000000000001,0.22999999999999998,0.05,0.4,0.13,0.31,0.0,0.35,0.0,0.49000000000000005,0.24,0.13,0.22999999999999998,0.37,0.6599999999999999,0.42000000000000004,0.33999999999999997,0.47000000000000003,0.2,0.25,0.32,0.13999999999999999,0.4,0.37,0.6900000000000001,0.49000000000000005,0.22999999999999998,0.0,0.61,0.2,0.22999999999999998,0.01,0.89,0.7,0.11000000000000001,0.82,0.19,0.0
274,173,0.16999999999999998,0.22000000000000003,0.3,0.27999999999999997,0.06,0.03,0.13,0.11000000000000001,0.78,0.11000000000000001,0.03,0.04,0.22999999999999998,0.26,0.27999999999999997,0.47000000000000003,0.0,0.01,1.58,0.74,0.41,0.01,0.04,0.16,0.13,0.52,0.11000000000000001,0.11000000000000001,0.0,0.0,0.7,0.21000000000000002,0.44000000000000006,0.02,0.06,0.39,0.8699999999999999,0.06,0.22999999999999998,0.1,0.32,0.0,0.9800000000000001,0.3,0.01,0.27,0.24,0.39,0.06999999999999999,0.11000000000000001,0.26,0.64,0.27999999999999997,0.05,0.0,0.2,0.3,0.11000000000000001,0.12,0.37,0.03,0.02,0.45,0.52,0.16999999999999998,0.45,0.48,0.3,0.5,0.51,0.62,0.09,0.4,0.0,0.06,0.1,0.16,0.05,0.24,0.12,0.09,0.95,0.51,0.0
286,180,0.33999999999999997,0.04,0.35,0.1,0.0,0.06999999999999999,0.31,0.22000000000000003,0.85,0.29,0.0,0.08,0.04,0.04,0.37,0.2,0.0,0.22999999999999998,1.3699999999999999,1.3599999999999999,0.11000000000000001,0.2,0.16999999999999998,0.15,0.19,0.6599999999999999,0.01,0.24,0.0,0.0,0.55,0.48,0.48,0.27999999999999997,0.2,0.53,0.26,0.13,0.18,0.22000000000000003,0.45,0.0,0.6799999999999999,0.36,0.38,0.27999999999999997,0.05,0.13999999999999999,0.38,0.02,0.27,0.06999999999999999,0.11000000000000001,0.13,0.0,0.16,0.01,0.4,0.18,0.22000000000000003,0.0,0.02,0.11000000000000001,0.16,0.16999999999999998,0.38,0.7,0.05,0.6599999999999999,0.3,0.22000000000000003,0.03,0.06999999999999999,0.0,0.12,0.3,0.03,0.16,0.09,0.19,0.11000000000000001,0.65,0.5,0.0
281,200,0.01,0.29,0.2,0.36,0.18,0.1,0.2,0.0,0.42000000000000004,0.04,0.21000000000000002,0.0,0.06999999999999999,0.0,0.15,0.04,0.0,0.06,1.69,1.3599999999999999,0.05,0.02,0.12,0.2,0.12,0.25,0.15,0.1,0.0,0.0,0.08,0.06999999999999999,0.42000000000000004,0.29,0.0,0.06,0.25,0.11000000000000001,0.3,0.15,0.29,0.0,0.26,0.04,0.01,0.05,0.13,0.08,0.63,0.11000000000000001,0.2,0.16999999999999998,0.0,0.15,0.0,0.1,0.0,0.05,0.25,0.02,0.38,0.18,0.1,0.08,0.0,0.18,0.13999999999999999,0.25,0.02,0.02,0.5599999999999999,0.09,0.05,0.0,0.09,0.08,0.1,0.21000000000000002,0.4,0.16,0.06,0.08,0.0,0.0
